"subject" "activity" "mean" "standard_deviation"
1 "Walking" -0.319 0.006
1 "walking_upstairs" -0.407 0.008
1 "walking_downstairs" -0.297 0.008
1 "sitting" -0.633 0.009
1 "standing" -0.647 0.013
1 "laying" -0.608 0.016
2 "Walking" -0.386 0.006
2 "walking_upstairs" -0.364 0.009
2 "walking_downstairs" -0.26 0.008
2 "sitting" -0.641 0.012
2 "standing" -0.636 0.009
2 "laying" -0.64 0.011
3 "Walking" -0.387 0.009
3 "walking_upstairs" -0.424 0.007
3 "walking_downstairs" -0.351 0.009
3 "sitting" -0.623 0.013
3 "standing" -0.627 0.014
3 "laying" -0.641 0.014
4 "Walking" -0.431 0.005
4 "walking_upstairs" -0.415 0.007
4 "walking_downstairs" -0.364 0.011
4 "sitting" -0.627 0.012
4 "standing" -0.619 0.01
4 "laying" -0.631 0.008
5 "Walking" -0.379 0.008
5 "walking_upstairs" -0.356 0.008
5 "walking_downstairs" -0.297 0.008
5 "sitting" -0.627 0.013
5 "standing" -0.619 0.008
5 "laying" -0.632 0.009
6 "Walking" -0.338 0.009
6 "walking_upstairs" -0.331 0.011
6 "walking_downstairs" -0.199 0.016
6 "sitting" -0.625 0.012
6 "standing" -0.629 0.01
6 "laying" -0.619 0.01
7 "Walking" -0.307 0.011
7 "walking_upstairs" -0.427 0.007
7 "walking_downstairs" -0.317 0.01
7 "sitting" -0.629 0.014
7 "standing" -0.634 0.014
7 "laying" -0.628 0.014
8 "Walking" -0.3 0.007
8 "walking_upstairs" -0.293 0.01
8 "walking_downstairs" -0.194 0.014
8 "sitting" -0.638 0.012
8 "standing" -0.639 0.011
8 "laying" -0.627 0.011
9 "Walking" -0.372 0.01
9 "walking_upstairs" -0.427 0.011
9 "walking_downstairs" -0.313 0.009
9 "sitting" -0.628 0.013
9 "standing" -0.634 0.01
9 "laying" -0.628 0.013
10 "Walking" -0.327 0.007
10 "walking_upstairs" -0.346 0.008
10 "walking_downstairs" -0.263 0.011
10 "sitting" -0.64 0.013
10 "standing" -0.631 0.01
10 "laying" -0.634 0.014
11 "Walking" -0.431 0.006
11 "walking_upstairs" -0.435 0.006
11 "walking_downstairs" -0.349 0.007
11 "sitting" -0.636 0.013
11 "standing" -0.648 0.01
11 "laying" -0.644 0.014
12 "Walking" -0.356 0.008
12 "walking_upstairs" -0.422 0.007
12 "walking_downstairs" -0.311 0.016
12 "sitting" -0.636 0.01
12 "standing" -0.628 0.01
12 "laying" -0.63 0.011
13 "Walking" -0.317 0.008
13 "walking_upstairs" -0.412 0.009
13 "walking_downstairs" -0.317 0.008
13 "sitting" -0.638 0.012
13 "standing" -0.639 0.012
13 "laying" -0.624 0.014
14 "Walking" -0.386 0.007
14 "walking_upstairs" -0.285 0.014
14 "walking_downstairs" -0.203 0.016
14 "sitting" -0.64 0.012
14 "standing" -0.634 0.014
14 "laying" -0.628 0.016
15 "Walking" -0.391 0.006
15 "walking_upstairs" -0.394 0.008
15 "walking_downstairs" -0.28 0.009
15 "sitting" -0.641 0.013
15 "standing" -0.64 0.011
15 "laying" -0.64 0.014
16 "Walking" -0.431 0.006
16 "walking_upstairs" -0.44 0.01
16 "walking_downstairs" -0.339 0.009
16 "sitting" -0.642 0.012
16 "standing" -0.647 0.014
16 "laying" -0.636 0.01
17 "Walking" -0.387 0.008
17 "walking_upstairs" -0.401 0.009
17 "walking_downstairs" -0.365 0.008
17 "sitting" -0.644 0.011
17 "standing" -0.645 0.01
17 "laying" -0.63 0.015
18 "Walking" -0.436 0.005
18 "walking_upstairs" -0.471 0.007
18 "walking_downstairs" -0.439 0.007
18 "sitting" -0.65 0.008
18 "standing" -0.646 0.01
18 "laying" -0.645 0.009
19 "Walking" -0.238 0.011
19 "walking_upstairs" -0.317 0.012
19 "walking_downstairs" -0.078 0.031
19 "sitting" -0.639 0.014
19 "standing" -0.64 0.011
19 "laying" -0.633 0.013
20 "Walking" -0.26 0.014
20 "walking_upstairs" -0.338 0.008
20 "walking_downstairs" -0.247 0.011
20 "sitting" -0.64 0.01
20 "standing" -0.62 0.012
20 "laying" -0.644 0.013
21 "Walking" -0.331 0.008
21 "walking_upstairs" -0.382 0.007
21 "walking_downstairs" -0.291 0.009
21 "sitting" -0.645 0.011
21 "standing" -0.638 0.012
21 "laying" -0.631 0.016
22 "Walking" -0.274 0.011
22 "walking_upstairs" -0.305 0.007
22 "walking_downstairs" -0.288 0.006
22 "sitting" -0.634 0.013
22 "standing" -0.636 0.008
22 "laying" -0.632 0.011
23 "Walking" -0.265 0.012
23 "walking_upstairs" -0.37 0.009
23 "walking_downstairs" -0.202 0.019
23 "sitting" -0.633 0.015
23 "standing" -0.637 0.009
23 "laying" -0.628 0.009
24 "Walking" -0.417 0.007
24 "walking_upstairs" -0.436 0.007
24 "walking_downstairs" -0.359 0.008
24 "sitting" -0.647 0.01
24 "standing" -0.634 0.013
24 "laying" -0.634 0.009
25 "Walking" -0.461 0.005
25 "walking_upstairs" -0.486 0.007
25 "walking_downstairs" -0.43 0.007
25 "sitting" -0.645 0.008
25 "standing" -0.645 0.008
25 "laying" -0.59 0.018
26 "Walking" -0.392 0.007
26 "walking_upstairs" -0.412 0.007
26 "walking_downstairs" -0.322 0.007
26 "sitting" -0.643 0.012
26 "standing" -0.644 0.013
26 "laying" -0.641 0.008
27 "Walking" -0.378 0.006
27 "walking_upstairs" -0.426 0.01
27 "walking_downstairs" -0.312 0.011
27 "sitting" -0.647 0.011
27 "standing" -0.644 0.01
27 "laying" -0.646 0.009
28 "Walking" -0.394 0.008
28 "walking_upstairs" -0.401 0.008
28 "walking_downstairs" -0.292 0.01
28 "sitting" -0.637 0.009
28 "standing" -0.628 0.01
28 "laying" -0.641 0.013
29 "Walking" -0.353 0.005
29 "walking_upstairs" -0.364 0.007
29 "walking_downstairs" -0.317 0.007
29 "sitting" -0.644 0.01
29 "standing" -0.65 0.009
29 "laying" -0.646 0.008
30 "Walking" -0.374 0.009
30 "walking_upstairs" -0.439 0.008
30 "walking_downstairs" -0.359 0.007
30 "sitting" -0.646 0.012
30 "standing" -0.631 0.009
30 "laying" -0.643 0.014
